,pIC50,standard_units,molecule_dictionary.chembl_id,canonical_smiles
82,5.040958607678906,nM,CHEMBL1095464,Cc1ccccc1Cc1cc2c(Nc3cccc(Br)c3)nc(N)nc2[nH]1
83,5.759709106585415,nM,CHEMBL1095465,COc1ccc(OC)c(Cc2cc3c(Nc4cccc(Br)c4)nc(N)nc3[nH]2)c1
84,5.380000399499542,nM,CHEMBL109575,COc1cc2ncc(C#N)c(Nc3ccccc3Br)c2cc1OC
85,6.668621084159213,nM,CHEMBL1095761,Nc1nc(Nc2cccc(Br)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1
86,4.015922966097169,nM,CHEMBL1095776,CC(C)c1ccccc1Nc1nc(N)nc2[nH]c(Cc3ccc(Cl)cc3Cl)cc12
87,5.684029654543083,nM,CHEMBL1095957,Cl.NCCc1c[nH]c2ccc(OCCc3ccc(O)cc3)cc12
88,4.210000001311123,nM,CHEMBL109625,COc1cc2ncc(C#N)c(Nc3cccc(C(C)C)c3)c2cc1OC
89,6.721246399047171,nM,CHEMBL109631,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(C(=O)O)c3)nc21
90,5.6020599913279625,nM,CHEMBL1097189,Cl.NC1CCc2c(c3cc(OCCc4ccc(O)cc4)ccc3n2CCCc2ccccc2)C1
91,4.820448208834812,nM,CHEMBL1097190,Cl.NC1CCc2[nH]c3ccc(OCCc4ccc(O)cc4)cc3c2C1
92,4.25103713874384,nM,CHEMBL1097368,c1ccc(CCc2cc3c(Nc4ccc5[nH]ccc5c4)ncnc3[nH]2)cc1
93,5.787812395596042,nM,CHEMBL1098119,Cl.NCCc1cn(CCCCCc2ccccc2)c2ccc(OCCc3ccc(O)cc3)cc12
94,6.008773924307505,nM,CHEMBL1098120,Cl.NC1CCc2c(c3cc(OCCc4ccc(O)cc4)ccc3n2CCCCCc2ccccc2)C1
95,5.356547323513812,nM,CHEMBL1098121,COc1ccc(CCCCCn2cc(CCN)c3cc(OCCc4ccc(O)cc4)ccc32)cc1.Cl
96,6.0699989989909255,nM,CHEMBL110035,COc1cc2ncc(C#N)c(Nc3cccc(N(C)C)c3)c2cc1OC
97,6.090000275786018,nM,CHEMBL110036,COc1cc2ncc(C#N)c(Nc3cccc(N)c3)c2cc1OC
98,6.209996479609511,nM,CHEMBL110055,COc1cc2ncc(C#N)c(Nc3ccc(Br)c(C)c3)c2cc1OC
99,5.169999984192582,nM,CHEMBL110062,N#Cc1cnc2cc3c(cc2c1Nc1cccc(Br)c1)OCO3
100,4.480000028175458,nM,CHEMBL110065,CCOc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cc1OC
101,5.200000237109354,nM,CHEMBL110577,COc1cc2ncc(C#N)c(Nc3cccc(O)c3)c2cc1OC
